"시점","구분별(1)",구분별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점","구분별(1)",구분별(2),소계,내국세,내국세,내국세,내국세,내국세,내국세,내국세,내국세,내국세,내국세,내국세,내국세,내국세,방위세,교육세,교통·에너지·환경세,농어촌특별세,종합부동산세
"시점","구분별(1)",구분별(2),소계,소계,직접세,직접세,직접세,직접세,직접세,간접세,간접세,간접세,간접세,간접세,인지세,과년도수입,소계,소계,소계,소계,소계
"시점","구분별(1)",구분별(2),소계,소계,소계,소득세,법인세,상속세,증여세,소계,부가가치세,특별소비세,주세,증권거래세,소계,소계,소계,소계,소계,소계,소계
"2020","합계",소계,95017952,91106957,76545378,42837129,27923408,2464312,4074360,14254938,13898062,109465,6011,241400,342880,-36239,52,1101938,-48095,625784,2231316
"2020","합계",종로,6254894,6016200,6272720,2753427,3276820,127688,125929,11584,-4856,-175,-,16615,12882,-280986,-,143268,-2489,23108,74807
"2020","합계",중부,1416451,1359504,1123856,624348,440446,23852,44450,390283,385857,1041,-,3385,5475,-160110,-,740,-,11951,44256
"2020","합계",남대문,14788765,14082759,12714175,4737862,7805199,150076,22618,1289193,1263837,-5926,1,31281,199111,-119720,-,436147,-35195,58816,246238
"2020","합계",용산,5652493,5470829,4668792,3002371,746891,388186,545910,776759,761193,960,9,14597,1883,23395,1,3786,-,35826,142051
"2020","합계",성북,1178577,1137570,961509,710724,68201,104008,113594,150871,149114,166,2,1589,-9,25199,-,72,-,9132,31803
"2020","합계",서대문,1127665,1089334,847527,648848,121679,39760,62473,216614,215062,1208,7,337,205,24988,2,12731,-,5913,19685
"2020","합계",은평,597981,582215,426849,376467,35359,26701,32272,126458,125191,95,733,439,-125,29033,-,60,-,4436,11270
"2020","합계",마포,2310693,2229682,1892188,1233539,501412,79240,105627,286241,283056,221,40,2924,612,50641,-,1997,-,30028,48986
"2020","합계",영등포,10112760,9715702,9034442,4820145,4061481,75247,86933,612215,536455,40883,788,34089,87760,-18715,-,276788,-10402,25144,105528
"2020","합계",강서,1461504,1400663,1374605,1004332,320830,45392,54946,-5224,-9128,1520,-,2384,611,30671,-,567,-3,14452,45825
"2020","합계",양천,1332163,1290344,1010404,803092,87869,47509,104183,259042,257887,87,-,1068,31,20867,-,150,2,10214,31453
"2020","합계",구로,1770986,1745605,1045185,668789,365167,12827,30143,660787,645151,13996,-,1640,142,39491,-,7484,-,7003,10894
"2020","합계",동작,1508106,1462340,1055597,780341,185920,54949,77045,362259,360517,29,-,1713,104,44380,-,119,-,11163,34484
"2020","합계",금천,1873110,1853025,1154182,568927,583837,15171,11647,661819,658676,1021,782,1340,98,36926,4,1202,-,8709,10170
"2020","합계",관악,759178,739903,515142,411709,99046,22873,40489,208477,207403,305,5,764,-65,16349,-,1989,-,4127,13159
"2020","합계",강남,5465896,5287760,4203742,2361673,1208103,276211,362231,1003574,984865,6262,8,12439,1730,78714,9,4831,-,40911,132385
"2020","합계",삼성,7898274,7403323,5875752,3146877,2188307,142927,409492,1479148,1409421,7667,10,62050,5584,42839,-,45879,-,84889,364183
"2020","합계",반포,4300758,4109844,3426320,2086118,646234,194773,505946,633866,621622,499,72,11673,-41,49699,-,1421,-,39290,150203
"2020","합계",서초,5646073,5384701,4106898,3020306,636150,111342,347017,1264362,1240801,13811,6,9744,12964,477,-,78799,-,45907,136666
"2020","합계",역삼,6568142,6135125,5492252,2628059,2460630,115521,292584,865345,841801,12628,48,10868,4666,-227138,-,69226,-,65450,298341
"2020","합계",성동,3617519,3500958,2464879,1714514,477438,121779,203536,962929,949085,9171,864,3809,9145,64005,10,3352,-,25966,87233
"2020","합계",동대문,961832,939427,628183,442653,147547,32605,33624,282628,281314,978,3,333,-26,28642,-,347,-,5808,16250
"2020","합계",중랑,448893,440664,266338,236605,35010,18419,19412,149667,148377,442,645,203,-10,24669,-,145,-6,2454,5636
"2020","합계",도봉,481143,468543,302609,291831,28433,20589,23201,141836,141052,512,-,272,-8,24106,14,1937,-,2975,7674
"2020","합계",강동,1608368,1572204,1218237,761801,385953,32158,70374,311005,309018,657,615,715,-3,42965,8,242,-2,8986,26930
"2020","합계",송파,1928479,1884910,1258805,831541,315402,44422,88349,590023,587800,701,-,1522,15,36067,4,860,-,11495,31210
"2020","합계",노원,746475,730779,521334,463220,33153,21639,49406,183501,181257,444,1339,461,-33,25977,-,221,-,4698,10777
"2020","합계",잠실,3200774,3073044,2682856,1707010,660891,118448,210929,379676,366234,262,34,13146,182,10330,-,7578,-,26933,93219
